pdb_id,expression_host_sci_name,expression_host_tax_id,expression_host_synonyms,expression_host_genus,expression_host_superkingdom,entity_id
1ysj,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
3i9z,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
3bmx,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2bb0,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
3ct1,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2bnl,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2f5e,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2f9s,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2fbz,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2fkn,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
3i76,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
3oid,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
3csr,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2f41,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
3dl0,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
3boy,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,2
2bkx,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2zuy,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2euc,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2fc1,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2b4l,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
3dod,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2fc2,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
3ehh,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2ikk,Escherichia coli BL21,511693,"Ecobb,Escherichia Coli Strain Bl21,Escherichia Coli Str. Bl21,Escherichia Coli (Strain B / Bl21),Escherichia Coli Bl21,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2gh4,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
3f5d,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2vt3,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2dcz,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2hjg,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2gd9,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
3ed5,Escherichia coli BL21,511693,"Ecobb,Escherichia Coli Strain Bl21,Escherichia Coli Str. Bl21,Escherichia Coli (Strain B / Bl21),Escherichia Coli Bl21,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2g0c,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2gx5,Escherichia coli BL21,511693,"Ecobb,Escherichia Coli Strain Bl21,Escherichia Coli Str. Bl21,Escherichia Coli (Strain B / Bl21),Escherichia Coli Bl21,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2h0e,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
3fyr,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2hmt,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2fxa,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
3du4,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
3f3b,,,,,,1
2f5d,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2fca,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2f5f,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
3ehg,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2d8l,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2h1a,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2d4g,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2im8,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2d1v,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2h1b,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
1qr0,Bacillus subtilis,1423,"Baciu,Bacillus Sp. 10405,Bacillus Sp. Aecsb01,Bacillus Sp. Aecsb05,Bacillus Sp. Swi06,Bacillus Mesentericus,Bacillus Sp. 15:2,Bacillus Sp. Aecsb13,Bacillus Sp. Bv5,Bacillus Sp. Jkr21,Bacillus Sp. Pw16b,Arthrobacter Sp. Chr2p1b1-M,Bacillus Sp. Bs4(2013),Bacillus Sp. Aecsb04,Bacillus Sp. Aecsb08,Bacillus Sp. Lb002,Bacillus Sp. Pw19,Bacillus Subtilis,Bacillus Uniflagellatus,Brevibacillus Sp. Bhr3p2b5-M,Bacillus Sp. Aecsb07,Bacillus Sp. Bv3,Bacillus Sp. Rsp-Glu,Bacillus Sp. Aecsb12,Bacillus Sp. Aecsb14,Bacillus Sp. Bs9(2013),Bacillus Sp. S2 Bc-1,Bacillus Sp. Umx-03,Bacillus Subtilis/Bacillus Globigii,Bacillus Natto,Bacillus Sp. Aecsb06,Bacillus Sp. He08,Bacillus Sp. Lkm-Bl,Vibrio Subtilis,Bacillus subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria",,,1
1vh6,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
1q2y,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
1tiq,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
1uwz,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
1pt2,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
1n0i,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
1nni,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
1srr,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
1ny1,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
1s4i,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
1ih8,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
1rzn,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
1iy9,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
1nrw,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
1j58,Bacteria,2,"Procaryotae,Prokaryotae,Prokaryotes,Monera,9bact,Bacteria,Eubacteria,Prokaryote,Prokaryota",,,1
1jkm,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
1n1d,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
1of0,Escherichia coli BL21,511693,"Ecobb,Escherichia Coli Strain Bl21,Escherichia Coli Str. Bl21,Escherichia Coli (Strain B / Bl21),Escherichia Coli Bl21,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
1qan,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
1vhx,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
1ux1,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
